"Step","patch size 2 - validation_accuracy","patch size 2 - validation_accuracy__MIN","patch size 2 - validation_accuracy__MAX","patch size 16 - validation_accuracy","patch size 16 - validation_accuracy__MIN","patch size 16 - validation_accuracy__MAX","patch size 12 - validation_accuracy","patch size 12 - validation_accuracy__MIN","patch size 12 - validation_accuracy__MAX","patch size 6 - validation_accuracy","patch size 6 - validation_accuracy__MIN","patch size 6 - validation_accuracy__MAX","patch size 3 - validation_accuracy","patch size 3 - validation_accuracy__MIN","patch size 3 - validation_accuracy__MAX"
"20","72.37484737484738","72.37484737484738","72.37484737484738","75.7936507936508","75.7936507936508","75.7936507936508","74.78632478632478","74.78632478632478","74.78632478632478","76.52625152625153","76.52625152625153","76.52625152625153","75.88522588522588","75.88522588522588","75.88522588522588"
"21","69.44444444444444","69.44444444444444","69.44444444444444","78.26617826617827","78.26617826617827","78.26617826617827","76.25152625152626","76.25152625152626","76.25152625152626","71.18437118437119","71.18437118437119","71.18437118437119","63.30891330891331","63.30891330891331","63.30891330891331"
"22","72.74114774114774","72.74114774114774","72.74114774114774","75.94627594627595","75.94627594627595","75.94627594627595","76.67887667887668","76.67887667887668","76.67887667887668","76.25152625152626","76.25152625152626","76.25152625152626","73.41269841269842","73.41269841269842","73.41269841269842"
"23","69.2002442002442","69.2002442002442","69.2002442002442","76.43467643467643","76.43467643467643","76.43467643467643","76.31257631257631","76.31257631257631","76.31257631257631","78.05250305250306","78.05250305250306","78.05250305250306","71.88644688644689","71.88644688644689","71.88644688644689"
"24","74.69474969474969","74.69474969474969","74.69474969474969","76.92307692307692","76.92307692307692","76.92307692307692","75.30525030525031","75.30525030525031","75.30525030525031","77.71672771672772","77.71672771672772","77.71672771672772","76.77045177045177","76.77045177045177","76.77045177045177"
"25","74.35897435897436","74.35897435897436","74.35897435897436","75.24420024420024","75.24420024420024","75.24420024420024","75.15262515262515","75.15262515262515","75.15262515262515","77.53357753357753","77.53357753357753","77.53357753357753","77.22832722832723","77.22832722832723","77.22832722832723"
"26","70.36019536019536","70.36019536019536","70.36019536019536","77.16727716727716","77.16727716727716","77.16727716727716","77.35042735042735","77.35042735042735","77.35042735042735","75.7936507936508","75.7936507936508","75.7936507936508","77.13675213675214","77.13675213675214","77.13675213675214"
"27","77.25885225885226","77.25885225885226","77.25885225885226","77.25885225885226","77.25885225885226","77.25885225885226","76.55677655677655","76.55677655677655","76.55677655677655","76.15995115995116","76.15995115995116","76.15995115995116","72.55799755799755","72.55799755799755","72.55799755799755"
"28","69.53601953601954","69.53601953601954","69.53601953601954","75.18315018315019","75.18315018315019","75.18315018315019","76.83150183150182","76.83150183150182","76.83150183150182","79.36507936507937","79.36507936507937","79.36507936507937","77.31990231990233","77.31990231990233","77.31990231990233"
"29","75.51892551892551","75.51892551892551","75.51892551892551","76.34310134310134","76.34310134310134","76.34310134310134","76.25152625152626","76.25152625152626","76.25152625152626","76.67887667887668","76.67887667887668","76.67887667887668","78.54090354090354","78.54090354090354","78.54090354090354"
