Model,Validation Accuracy,Test Accuracy
VisionTransformer,87.7593994140625,86.6058349609375
PostHocEquivariantMean,88.0706787109375,87.26806640625
PostHocEquivariantMax,86.669921875,86.1541748046875
PostHocEquivariantSum,88.29345703125,87.432861328125
PostHocEquivariantMostProbable,88.0706787109375,87.26806640625
PostHocMostCertain,87.896728515625,87.1063232421875
