Model,Validation Accuracy,Test Accuracy
VisionTransformer,86.25,86.208
PostHocEquivariantMean,88.5,88.994
PostHocEquivariantMax,88.15,88.734
PostHocEquivariantSum,88.5,88.994
PostHocEquivariantMostProbable,88.6,89.028
PostHocMostCertain,87.1,87.884
PostHocLearnedScoreAggregation,80.3,80.754
PostHocLearnedAggregation,82.25,82.656
